"term","estimate","std.error","statistic","p.value","comparison","LE8_Component","Odds_Ratio","Lower_CI","Upper_CI","Significance"
"HbA1c_score_scaled",-0.00233026352920712,0.00426153721852161,-0.546812901006534,0.584507278938925,"CHIP","HbA1c_score_scaled",0.99767244942714,0.989373982793762,1.00604052022402,"Not Significant"
"HbA1c_score_std",-0.00501905033418431,0.00917873430737598,-0.546812901006518,0.584507278938936,"CHIP","HbA1c_score_std",0.994993524052988,0.977253327280433,1.01305576074369,"Not Significant"
"LE8_composite_scaled",-0.0372101515742136,0.00874492615541447,-4.2550561220205,2.08996586991644e-05,"CHIP","LE8_composite_scaled",0.963473638570431,0.947100367390821,0.980129967405124,"Significant"
"LE8_composite_std",-0.042729542421348,0.0100420631822496,-4.2550561220205,2.08996586991642e-05,"CHIP","LE8_composite_std",0.958170499499627,0.939495747710544,0.977216457177862,"Significant"
"LE8_catlow",0.0777687705709132,0.0479150264561036,1.62305598729366,0.10457743702261,"CHIP","LE8_cat",1.08087270019494,0.983984945551647,1.18730047579308,"Not Significant"
"LE8_catintermediate",0.0153369042574445,0.0403619557215388,0.379984170322553,0.703957165679402,"CHIP","LE8_cat",1.01545511814539,0.938218392775998,1.09905018373888,"Not Significant"
"diet_score_scaled",-0.00415993251873178,0.00415712275562473,-1.00067589130084,0.316983526586642,"DNMT3A","diet_score_scaled",0.99584870801505,0.987767539208605,1.00399599084801,"Not Significant"
"diet_score_std",-0.0134230313560156,0.0134139649737803,-1.00067589130082,0.316983526586651,"DNMT3A","diet_score_std",0.986666655789777,0.961063877205087,1.01295149337887,"Not Significant"
"BP_Score_scaled",-0.0113923169995761,0.0052336056212119,-2.17676260385436,0.0294982845851505,"DNMT3A","BP_Score_scaled",0.98867232971888,0.978582498981703,0.998866193263114,"Significant"
"BP_Score_std",-0.0312272984735005,0.0143457529168345,-2.1767626038544,0.0294982845851477,"DNMT3A","BP_Score_std",0.969255237800054,0.942381615740528,0.996895207112685,"Significant"
"PA_score_scaled",0.00219111023236739,0.00465034680878411,0.471171360430273,0.637518368860313,"DNMT3A","PA_score_scaled",1.00219351246859,0.99310034317567,1.01136994195608,"Not Significant"
"PA_score_std",0.00616182936463177,0.0130776823086294,0.47117136043027,0.637518368860315,"DNMT3A","PA_score_std",1.00618085248753,0.980717896588439,1.03230491809552,"Not Significant"
"final_smoking_score_scaled",-0.0270324813446802,0.0041809711868404,-6.46559857426546,1.00898603692423e-10,"DNMT3A","final_smoking_score_scaled",0.973329625955813,0.965386070232738,0.981338544210492,"Significant"
"final_smoking_score_std",-0.0840830060314681,0.0130046746740724,-6.46559857426541,1.00898603692457e-10,"DNMT3A","final_smoking_score_std",0.919354940922702,0.896217483452933,0.943089733244837,"Significant"
"sleep_health_points_scaled",-0.00586420920294669,0.00684348061493273,-0.85690448076243,0.391497676256881,"DNMT3A","sleep_health_points_scaled",0.994152951710393,0.980907190223115,1.007577578435,"Not Significant"
"sleep_health_points_std",-0.0111828727391722,0.0130503142301487,-0.856904480762443,0.391497676256874,"DNMT3A","sleep_health_points_std",0.988879423150268,0.963906010476904,1.01449986087979,"Not Significant"
"bmi_points_scaled",0.0171836383745973,0.00474484641350876,3.62153732219336,0.000292857544981822,"DNMT3A","bmi_points_scaled",1.01733212639063,1.00791489790563,1.0268373426537,"Significant"
"bmi_points_std",0.0490904414709149,0.0135551389102306,3.62153732219331,0.00029285754498187,"DNMT3A","bmi_points_std",1.05031533850869,1.02277791263926,1.07859418616102,"Significant"
"Blood_lipid_points_scaled",0.0095495176141157,0.00445682444587516,2.14267304671466,0.0321393611246058,"DNMT3A","Blood_lipid_points_scaled",1.0095952597466,1.00081447320351,1.01845308575543,"Significant"
"Blood_lipid_points_std",0.0288490077982189,0.0134640270210393,2.14267304671468,0.0321393611246043,"DNMT3A","Blood_lipid_points_std",1.0292691711232,1.00246254192481,1.05679263046627,"Significant"
"HbA1c_score_scaled",0.00209898013701554,0.00597908887405297,0.351053510196903,0.725548204479133,"DNMT3A","HbA1c_score_scaled",1.00210118453788,0.990426090446567,1.01391390406472,"Not Significant"
"HbA1c_score_std",0.00452089938588109,0.012878091956254,0.351053510196874,0.725548204479154,"DNMT3A","HbA1c_score_std",1.00453113406902,0.979493026718629,1.03020927335695,"Not Significant"
"LE8_composite_scaled",-0.0148468227138685,0.0120541238188375,-1.23167995758154,0.218068659543472,"DNMT3A","LE8_composite_scaled",0.985262847934076,0.962257776377328,1.00881791069934,"Not Significant"
"LE8_composite_std",-0.0170490555435983,0.0138421149411855,-1.23167995758154,0.218068659543472,"DNMT3A","LE8_composite_std",0.983095457169947,0.956782103182667,1.01013247916456,"Not Significant"
"LE8_catlow",-0.0512668633430854,0.0655002737506805,-0.782696932507901,0.433805103995394,"DNMT3A","LE8_cat",0.95002510982408,0.835564779705358,1.08016485521867,"Not Significant"
"LE8_catintermediate",-0.0157330031691486,0.0534401257517629,-0.294404306648354,0.768448976431837,"DNMT3A","LE8_cat",0.98439011401191,0.886498673642095,1.09309119728656,"Not Significant"
"diet_score_scaled",-0.0129758282972899,0.00420754620803008,-3.08394195945504,0.00204277443869441,"nonDNMT3A","diet_score_scaled",0.987107994812914,0.979000996217786,0.995282126563652,"Significant"
"diet_score_std",-0.0418696575774988,0.0135766684742982,-3.08394195945504,0.00204277443869442,"nonDNMT3A","diet_score_std",0.958994770128091,0.933812203592748,0.984856447147178,"Significant"
"BP_Score_scaled",-0.0127512326019594,0.00535626170804477,-2.38062165312197,0.0172834531594914,"nonDNMT3A","BP_Score_scaled",0.987329719917695,0.977018681776276,0.997749576354544,"Significant"
"BP_Score_std",-0.0349522003628608,0.0146819635606626,-2.38062165312195,0.0172834531594923,"nonDNMT3A","BP_Score_std",0.965651572949211,0.938259375064526,0.993843477743195,"Significant"
"PA_score_scaled",-0.00964653424375969,0.00474562072259848,-2.03272339018228,0.0420804768047323,"nonDNMT3A","PA_score_scaled",0.990399844317101,0.981230433113831,0.999654941918771,"Significant"
"PA_score_std",-0.0271279359167165,0.0133456111381116,-2.03272339018227,0.0420804768047337,"nonDNMT3A","PA_score_std",0.97323672162706,0.948109446262035,0.999029932733742,"Significant"
"final_smoking_score_scaled",-0.0242265584284489,0.00425367375438361,-5.69544347482745,1.23051649242911e-08,"nonDNMT3A","final_smoking_score_scaled",0.976064549055646,0.967960731668037,0.984236212022216,"Significant"
"final_smoking_score_std",-0.0753553413202247,0.0132308119031079,-5.69544347482741,1.23051649242936e-08,"nonDNMT3A","final_smoking_score_std",0.927413879298258,0.903672979253358,0.951778489853355,"Significant"
"sleep_health_points_scaled",-0.0172424531416225,0.00685435008708189,-2.51554894666362,0.0118847173431615,"nonDNMT3A","sleep_health_points_scaled",0.982905347253894,0.96978878432648,0.996199313989035,"Significant"
"sleep_health_points_std",-0.0328808459113317,0.0130710419906325,-2.51554894666363,0.0118847173431611,"nonDNMT3A","sleep_health_points_std",0.967653852633034,0.943178157199115,0.992764698131022,"Significant"
"bmi_points_scaled",-0.0181959277363386,0.00474460182661038,-3.83508003438469,0.000125523413904622,"nonDNMT3A","bmi_points_scaled",0.98196861862072,0.972879209041972,0.991142948676463,"Significant"
"bmi_points_std",-0.051982362877831,0.0135544401712,-3.83508003438471,0.000125523413904612,"nonDNMT3A","bmi_points_std",0.949345610419746,0.92445669978373,0.974904598813643,"Significant"
"Blood_lipid_points_scaled",0.025596499885678,0.00451986133916163,5.66311618099898,1.48648440154759e-08,"nonDNMT3A","Blood_lipid_points_scaled",1.02592690332265,1.01687842958934,1.035055892951,"Significant"
"Blood_lipid_points_std",0.077326798551322,0.0136544609151356,5.66311618099894,1.48648440154791e-08,"nonDNMT3A","Blood_lipid_points_std",1.0803950902576,1.05186423852675,1.10969981514686,"Significant"
"HbA1c_score_scaled",-0.00663522530632059,0.00581707638290441,-1.14064606849939,0.254017238038741,"nonDNMT3A","HbA1c_score_scaled",0.993386739194459,0.982124992603949,1.00477762101442,"Not Significant"
"HbA1c_score_std",-0.0142913148550222,0.0125291405017728,-1.14064606849927,0.254017238038791,"nonDNMT3A","HbA1c_score_std",0.985810321237915,0.961896492519874,1.01031867463549,"Not Significant"
"LE8_composite_scaled",-0.0557721205415299,0.0122021421084673,-4.57068275764701,4.86137748565902e-06,"nonDNMT3A","LE8_composite_scaled",0.945754629388984,0.923404108986895,0.968646132614717,"Significant"
"LE8_composite_std",-0.0640448127671521,0.0140120888197721,-4.5706827576471,4.86137748565696e-06,"nonDNMT3A","LE8_composite_std",0.937962965872927,0.912553553159234,0.964079885836162,"Significant"
"LE8_catlow",0.185197758475766,0.067846587014655,2.72965474940933,0.00634006849540566,"nonDNMT3A","LE8_cat",1.20345641030196,1.05360587539582,1.3746196422384,"Significant"
"LE8_catintermediate",0.037952310850401,0.0587498443551409,0.645998491859494,0.518280332115263,"nonDNMT3A","LE8_cat",1.03868169785049,0.925707115719674,1.16544385489663,"Not Significant"
"diet_score_scaled",-0.00954777907742425,0.00721248272298045,-1.3237853654752,0.185574337804921,"TET2","diet_score_scaled",0.990497656248102,0.976594025316309,1.00459923120584,"Not Significant"
"diet_score_std",-0.0308082252198769,0.0232728250540958,-1.32378536547521,0.185574337804917,"TET2","diet_score_std",0.969661511869503,0.926424281111662,1.014916671304,"Not Significant"
"BP_Score_scaled",-0.041233442796338,0.00932162536504885,-4.42341771757332,9.7151642820265e-06,"TET2","BP_Score_scaled",0.959605090902865,0.942231926238245,0.977298587369093,"Significant"
"BP_Score_std",-0.113024332568972,0.0255513586519194,-4.42341771757338,9.71516428202374e-06,"TET2","BP_Score_std",0.893128927730379,0.849501989823062,0.938996366229772,"Significant"
"PA_score_scaled",-0.0165849898682018,0.00820811989809388,-2.02055891898621,0.043325445177999,"TET2","PA_score_scaled",0.983551783901854,0.967855088506157,0.999503048653307,"Significant"
"PA_score_std",-0.0466402265264359,0.0230828342040316,-2.02055891898621,0.0433254451779993,"TET2","PA_score_std",0.954430714681974,0.912212253790968,0.998603105080721,"Significant"
"final_smoking_score_scaled",0.000645686761391839,0.00786524380112907,0.0820936741082519,0.934572223476388,"TET2","final_smoking_score_scaled",1.00064589526196,0.985338353120218,1.01619124489966,"Not Significant"
"final_smoking_score_std",0.00200837219344699,0.0244643964990456,0.0820936741082224,0.934572223476411,"TET2","final_smoking_score_std",1.00201039032371,0.955097504323869,1.0512275634386,"Not Significant"
"sleep_health_points_scaled",-0.00514458210777289,0.0119524593393619,-0.430420381421482,0.666889871956116,"TET2","sleep_health_points_scaled",0.994868628590542,0.971832900454678,1.01845038142932,"Not Significant"
"sleep_health_points_std",-0.00981056524698065,0.0227929848827782,-0.430420381421534,0.666889871956079,"TET2","sleep_health_points_std",0.990237401360252,0.946972887947463,1.03547854804805,"Not Significant"
"bmi_points_scaled",-0.0249660584805198,0.0080588525833126,-3.0979668907478,0.00194853196628815,"TET2","bmi_points_scaled",0.975343016090509,0.960058163339279,0.990871215268599,"Significant"
"bmi_points_std",-0.0713233603896841,0.023022634813398,-3.09796689074778,0.00194853196628826,"TET2","bmi_points_std",0.931160742939661,0.890076624850819,0.974141219962119,"Significant"
"Blood_lipid_points_scaled",0.0118538619459958,0.00778357855853134,1.52293213935679,0.127775683998144,"TET2","Blood_lipid_points_scaled",1.01192439739782,0.996603828053698,1.0274804864524,"Not Significant"
"Blood_lipid_points_std",0.0358104115346677,0.0235141216139756,1.5229321393568,0.127775683998141,"TET2","Blood_lipid_points_std",1.0364593271294,0.989775363823946,1.08534519655372,"Not Significant"
"HbA1c_score_scaled",-0.00860503703936947,0.00991028480852514,-0.868293616745217,0.385233615727078,"TET2","HbA1c_score_scaled",0.991431880324205,0.972359978080501,1.01087785951821,"Not Significant"
"HbA1c_score_std",-0.0185340041960027,0.0213453189549834,-0.868293616745215,0.385233615727079,"TET2","HbA1c_score_std",0.981636694257704,0.941415364401598,1.0235764530205,"Not Significant"
"LE8_composite_scaled",-0.0671281177175378,0.0209561573172331,-3.20326463966443,0.00135879055283206,"TET2","LE8_composite_scaled",0.935075393937018,0.897446126989894,0.974282428828528,"Significant"
"LE8_composite_std",-0.0770852477705185,0.0240645892368709,-3.20326463966446,0.00135879055283195,"TET2","LE8_composite_std",0.925810926924939,0.883157396152485,0.9705244797221,"Significant"
"LE8_catlow",0.208150482499241,0.11685739751198,1.78123496612957,0.0748740736641075,"TET2","LE8_cat",1.23139845952482,0.979326668299493,1.54835175555168,"Not Significant"
"LE8_catintermediate",0.0464173059107316,0.10130949032445,0.458173323763422,0.646827923519588,"TET2","LE8_cat",1.04751145248127,0.858860047550746,1.27760075254238,"Not Significant"
"diet_score_scaled",-0.0402962830014228,0.00909365512226191,-4.43125261071037,9.36872565147111e-06,"ASXL1","diet_score_scaled",0.960504815740177,0.943536860559505,0.97777791162605,"Significant"
"diet_score_std",-0.130025731865453,0.0293428841206612,-4.43125261071041,9.36872565146952e-06,"ASXL1","diet_score_std",0.878072836177782,0.828997794120891,0.930053024388215,"Significant"
"BP_Score_scaled",0.00553005538636849,0.0116053687157824,0.476508374856548,0.633712242314561,"ASXL1","BP_Score_scaled",1.00554537436791,0.982930889211818,1.02868015545171,"Not Significant"
"BP_Score_std",0.0151583466411211,0.0318112911356176,0.476508374856529,0.633712242314575,"ASXL1","BP_Score_std",1.01527381708683,0.953904436452588,1.08059139288141,"Not Significant"
"PA_score_scaled",-0.00975451493695752,0.0101447970611805,-0.961528838687529,0.336286332401727,"ASXL1","PA_score_scaled",0.990292906029107,0.970796590510584,1.01018076218808,"Not Significant"
"PA_score_std",-0.0274315986883706,0.0285291481489148,-0.961528838687531,0.336286332401726,"ASXL1","PA_score_std",0.972941230733757,0.920030249985808,1.02889512434653,"Not Significant"
"final_smoking_score_scaled",-0.0932669077590354,0.00794652156626287,-11.7368218259171,8.25298670030552e-32,"ASXL1","final_smoking_score_scaled",0.910950328134641,0.896872031353363,0.925249613455346,"Significant"
"final_smoking_score_std",-0.290101447501145,0.0247172063957333,-11.7368218259173,8.25298670029287e-32,"ASXL1","final_smoking_score_std",0.748187661959719,0.712805154124859,0.785326500894936,"Significant"
"sleep_health_points_scaled",-0.0440639003785216,0.0142693893455212,-3.0880018276572,0.0020150723164248,"ASXL1","sleep_health_points_scaled",0.95689280970664,0.93050120909629,0.984032949465534,"Significant"
"sleep_health_points_std",-0.0840285489946311,0.0272113015743842,-3.08800182765726,0.00201507231642439,"ASXL1","sleep_health_points_std",0.919405007631816,0.87165401980846,0.969771892114041,"Significant"
"bmi_points_scaled",-0.0413538627814892,0.0102928288126554,-4.01773540920481,5.87601222362022e-05,"ASXL1","bmi_points_scaled",0.959489542229392,0.940326797469498,0.979042800997524,"Significant"
"bmi_points_std",-0.11814025273437,0.0294046871438337,-4.0177354092048,5.87601222362062e-05,"ASXL1","bmi_points_std",0.8885714193035,0.838808002540866,0.941287117923711,"Significant"
"Blood_lipid_points_scaled",0.0266409900683162,0.00985798702883216,2.70247769553742,0.00688248019617372,"ASXL1","Blood_lipid_points_scaled",1.02699903371864,1.00734618730031,1.04703529785097,"Significant"
"Blood_lipid_points_std",0.0804821941054964,0.0297808911571764,2.7024776955374,0.00688248019617417,"ASXL1","Blood_lipid_points_std",1.08380954827196,1.02235792174085,1.14895489333648,"Significant"
"HbA1c_score_scaled",-0.0164441724673816,0.0119962601170153,-1.3707749170975,0.170445132377051,"ASXL1","HbA1c_score_scaled",0.983690294859783,0.960830905512632,1.00709353815494,"Not Significant"
"HbA1c_score_std",-0.0354183671860847,0.0258382078226817,-1.37077491709751,0.170445132377048,"ASXL1","HbA1c_score_std",0.965201523130405,0.917538026148727,1.01534100353705,"Not Significant"
"LE8_composite_scaled",-0.191137766391625,0.0262023704875986,-7.29467459755558,2.99381758963806e-13,"ASXL1","LE8_composite_scaled",0.826018782684984,0.784668131862531,0.86954854115054,"Significant"
"LE8_composite_std",-0.219489277840314,0.0300889744847375,-7.29467459755564,2.99381758963686e-13,"ASXL1","LE8_composite_std",0.80292876677733,0.756945768732365,0.851705143418947,"Significant"
"LE8_catlow",0.786728938798553,0.169427714618316,4.64344892198354,3.42640730321651e-06,"ASXL1","LE8_cat",2.19620075684816,1.57562279284494,3.06120080661658,"Significant"
"LE8_catintermediate",0.329902966523051,0.158463388455129,2.0818876192116,0.0373527359191401,"ASXL1","LE8_cat",1.39083316453806,1.01950246119691,1.89741267451962,"Significant"
